image_filename,prompt_filename,prompt_group,event_label,sample_role,label_decision_reason,gt_basis,review_status
01_p01-supine-on-floor-01.png,01_p01-supine-on-floor-01.txt,p01-supine-on-floor,1,positive,Prompt group p01-supine-on-floor explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
02_p01-supine-on-floor-02.png,02_p01-supine-on-floor-02.txt,p01-supine-on-floor,1,positive,Prompt group p01-supine-on-floor explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
03_p01-supine-on-floor-03.png,03_p01-supine-on-floor-03.txt,p01-supine-on-floor,1,positive,Prompt group p01-supine-on-floor explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
04_p01-supine-on-floor-04.png,04_p01-supine-on-floor-04.txt,p01-supine-on-floor,1,positive,Prompt group p01-supine-on-floor explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
05_p01-supine-on-floor-05.png,05_p01-supine-on-floor-05.txt,p01-supine-on-floor,1,positive,Prompt group p01-supine-on-floor explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
06_p01-supine-on-floor-06.png,06_p01-supine-on-floor-06.txt,p01-supine-on-floor,1,positive,Prompt group p01-supine-on-floor explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
07_p01-supine-on-floor-07.png,07_p01-supine-on-floor-07.txt,p01-supine-on-floor,1,positive,Prompt group p01-supine-on-floor explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
08_p01-supine-on-floor-08.png,08_p01-supine-on-floor-08.txt,p01-supine-on-floor,1,positive,Prompt group p01-supine-on-floor explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
09_p01-supine-on-floor-09.png,09_p01-supine-on-floor-09.txt,p01-supine-on-floor,1,positive,Prompt group p01-supine-on-floor explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
100_p10-partially-occluded-fallen-person-10.png,100_p10-partially-occluded-fallen-person-10.txt,p10-partially-occluded-fallen-person,1,positive,Prompt group p10-partially-occluded-fallen-person explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
101_p11-small-target-far-distance-01.png,101_p11-small-target-far-distance-01.txt,p11-small-target-far-distance,1,positive,Prompt group p11-small-target-far-distance explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
102_p11-small-target-far-distance-02.png,102_p11-small-target-far-distance-02.txt,p11-small-target-far-distance,1,positive,Prompt group p11-small-target-far-distance explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
103_p11-small-target-far-distance-03.png,103_p11-small-target-far-distance-03.txt,p11-small-target-far-distance,1,positive,Prompt group p11-small-target-far-distance explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
104_p11-small-target-far-distance-04.png,104_p11-small-target-far-distance-04.txt,p11-small-target-far-distance,1,positive,Prompt group p11-small-target-far-distance explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
105_p11-small-target-far-distance-05.png,105_p11-small-target-far-distance-05.txt,p11-small-target-far-distance,1,positive,Prompt group p11-small-target-far-distance explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
106_p11-small-target-far-distance-06.png,106_p11-small-target-far-distance-06.txt,p11-small-target-far-distance,1,positive,Prompt group p11-small-target-far-distance explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
107_p11-small-target-far-distance-07.png,107_p11-small-target-far-distance-07.txt,p11-small-target-far-distance,1,positive,Prompt group p11-small-target-far-distance explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
108_p11-small-target-far-distance-08.png,108_p11-small-target-far-distance-08.txt,p11-small-target-far-distance,1,positive,Prompt group p11-small-target-far-distance explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
109_p11-small-target-far-distance-09.png,109_p11-small-target-far-distance-09.txt,p11-small-target-far-distance,1,positive,Prompt group p11-small-target-far-distance explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
10_p01-supine-on-floor-10.png,10_p01-supine-on-floor-10.txt,p01-supine-on-floor,1,positive,Prompt group p01-supine-on-floor explicitly requires a real person in a lying/fallen state on ground or abnormal support; V2 accepts voluntary lying and does not require a transition.,user_confirmed_prompt_image_alignment,unreviewed
